municipio_escola;municipio_prova;uf_prova;nota_ciencias_natureza;nota_ciencias_humanas;nota_linguagens_codigos;nota_matematica;nota_redacao
Valinhos;Valinhos;SP;667.6;684.5;600.6;825.9;680.0
Valinhos;Itatiba;SP;601.0;557.7;608.6;735.3;740.0
Valinhos;Campinas;SP;667.3;611.7;602.3;733.0;960.0
Valinhos;Mogi Mirim;SP;689.4;788.1;722.0;802.5;920.0
Valinhos;Valinhos;SP;651.3;616.5;590.6;792.2;920.0
Valinhos;Indaiatuba;SP;630.3;675.6;579.9;852.0;880.0
Valinhos;Itatiba;SP;676.1;611.8;660.9;869.4;920.0
Valinhos;Jundiaí;SP;628.7;654.4;621.9;781.7;840.0
Valinhos;Campinas;SP;657.7;631.1;621.5;778.8;940.0
Valinhos;Vinhedo;SP;548.0;574.9;559.8;660.6;800.0
Valinhos;Vinhedo;SP;711.1;707.2;629.8;874.2;940.0
Valinhos;Vinhedo;SP;639.8;617.7;642.2;707.8;800.0
Valinhos;Valinhos;SP;;586.6;563.3;;900.0
